Type,d,d_grp,fd
All,1,"(0, 1]",0.23492942784666526
All,2,"(1, 2]",0.08843365517445777
All,3,"(2, 3]",0.06583236328647461
All,4,"(3, 4]",0.04268769843062213
All,5,"(4, 5]",0.03487578023608805
All,6,"(5, 6]",0.02780462435697151
All,7,"(6, 7]",0.022776707594497934
All,8,"(7, 8]",0.018902384515434075
All,9,"(8, 9]",0.017376779902849217
All,10,"(9, 10]",0.014930818399580185
All,11,"(10, 11]",0.013397344631199888
All,12,"(11, 12]",0.01217219609417994
All,13,"(12, 13]",0.011254547862957043
All,14,"(13, 14]",0.010632849638958984
All,15,"(14, 15]",0.009967162341996353
All,16,"(15, 16]",0.008965933550806096
All,17,"(16, 17]",0.00907773481313309
All,18,"(17, 18]",0.007723110276529353
All,19,"(18, 19]",0.007499575842404193
All,20,"(19, 20]",0.006951368653020151
All,21,"(20, 21]",0.0060331602245984285
All,22,"(21, 22]",0.005605471905076299
All,23,"(22, 23]",0.005131732496823118
All,24,"(23, 24]",0.005122089077545606
All,25,"(24, 25]",0.004907458201790367
All,26,"(25, 26]",0.0045314544127379045
All,27,"(26, 27]",0.004025070449914253
All,28,"(27, 28]",0.0037338294663742757
All,29,"(28, 29]",0.004031766678259032
All,30,"(29, 30]",0.003757362029513693
All,31,"(30, 31]",0.0031898365423528785
All,32,"(31, 32]",0.0031016804541862094
All,33,"(32, 33]",0.003028503915478628
All,34,"(33, 34]",0.0028327678295606714
All,35,"(34, 35]",0.0027613690117932075
All,36,"(35, 36]",0.00273204624045368
All,37,"(36, 37]",0.0026392903389119097
All,38,"(37, 38]",0.00245533151098727
All,39,"(38, 39]",0.0023057462650494884
All,40,"(39, 40]",0.0023286519914069727
All,41,"(40, 41]",0.002094788671032654
All,42,"(41, 42]",0.002126580063620334
All,43,"(42, 43]",0.001920643912998666
All,44,"(43, 44]",0.0019261242635088376
All,45,"(44, 45]",0.0018893501279245762
All,46,"(45, 46]",0.0017557042718382542
All,47,"(46, 47]",0.002009308446407109
All,48,"(47, 48]",0.0013944685736172959
All,49,"(48, 49]",0.0015263258078733026
All,50,"(49, 50]",0.0016378565621763788
All,51,"(50, 51]",0.0019041199582140009
All,52,"(51, 52]",0.0015233103783987621
All,53,"(52, 53]",0.001448737988288919
All,54,"(53, 54]",0.0016373489548694364
All,55,"(54, 55]",0.0015648458136989674
All,56,"(55, 56]",0.0016383900308696454
All,57,"(56, 57]",0.0014172528983376763
All,58,"(57, 58]",0.001492932715476199
All,59,"(58, 59]",0.0015281375761886165
All,60,"(59, 60]",0.001483188036408275
All,61,"(60, 61]",0.0013279557612633909
All,62,"(61, 62]",0.0013670109492867617
All,63,"(62, 63]",0.0015704914949786137
All,64,"(63, 64]",0.0014062244170041326
All,65,"(64, 65]",0.0013379051445140825
All,66,"(65, 66]",0.0014474882522597758
All,67,"(66, 67]",0.001437018077629371
All,68,"(67, 68]",0.0014903170002320207
All,69,"(68, 69]",0.0013886436595820558
All,70,"(69, 70]",0.001342129616614747
All,71,"(70, 71]",0.0012053722927735618
All,72,"(71, 72]",0.0010339123578697992
All,73,"(72, 73]",0.0011210996575536805
All,74,"(73, 74]",0.0009220509503350202
All,75,"(74, 75]",0.0009210857725253265
All,76,"(75, 76]",0.0009986940266429856
All,77,"(76, 77]",0.0010562487957742049
All,78,"(77, 78]",0.0009613280137421478
All,79,"(78, 79]",0.0007998356839681556
All,80,"(79, 80]",0.0008239718394815621
All,81,"(80, 81]",0.0008853643746775967
All,82,"(81, 82]",0.0009525234226927744
All,83,"(82, 83]",0.0008220869281019293
All,84,"(83, 84]",0.0009247848743870364
All,85,"(84, 85]",0.0010152598936373663
All,86,"(85, 86]",0.0011676021229182652
All,87,"(86, 87]",0.0010764846232620407
All,88,"(87, 88]",0.0011475909696898182
All,89,"(88, 89]",0.0011000653478812623
All,90,"(89, 90]",0.0009044106365307056
All,91,"(90, 91]",0.0010882037310460493
All,92,"(91, 92]",0.0008473696690125677
All,93,"(92, 93]",0.0009238532468311651
All,94,"(93, 94]",0.0007967124550192652
All,95,"(94, 95]",0.000837790249748671
All,96,"(95, 96]",0.0007751939493269655
All,97,"(96, 97]",0.0007866553782928668
All,98,"(97, 98]",0.0006300348662371836
All,99,"(98, 99]",0.0006598665548066176
All,100,"(99, 100]",0.0006975636258318529
All,101,"(100, 101]",0.0006136692762780147
All,102,"(101, 102]",0.0005479477762290089
All,103,"(102, 103]",0.0005633530251519782
All,104,"(103, 104]",0.0006919897004899244
All,105,"(104, 105]",0.0006014856122673491
All,106,"(105, 106]",0.0005820728719325242
All,107,"(106, 107]",0.0006984839134664035
All,108,"(107, 108]",0.0007112017384727322
All,109,"(108, 109]",0.0006910406215059048
All,110,"(109, 110]",0.000681495361870508
All,111,"(110, 111]",0.0007689873235903239
All,112,"(111, 112]",0.000582337621974076
All,113,"(112, 113]",0.0006020010225524196
All,114,"(113, 114]",0.0004756000751578638
All,115,"(114, 115]",0.000558676815251618
All,116,"(115, 116]",0.0005162935748005374
All,117,"(116, 117]",0.0005287472075082911
All,118,"(117, 118]",0.000670556286167474
All,119,"(118, 119]",0.0005691742557200923
All,120,"(119, 120]",0.00043855008956032444
All,121,"(120, 121]",0.0005060116629728519
All,122,"(121, 122]",0.000587578785169313
